iter	MultiClass
0	1.875563709
1	1.8061116
2	1.748910479
3	1.696592031
4	1.649814096
5	1.6079901
6	1.569361256
7	1.534471633
8	1.502503423
9	1.473581626
10	1.447185332
11	1.422665485
12	1.398994026
13	1.377899907
14	1.359369327
15	1.341678073
16	1.32448605
17	1.308507162
18	1.293507135
19	1.2794178
20	1.265626038
21	1.253296502
22	1.240988749
23	1.229370693
24	1.217848279
25	1.207565864
26	1.1989036
27	1.189189549
28	1.18034913
29	1.171905612
30	1.164056108
31	1.156811183
32	1.149749188
33	1.142869502
34	1.136573241
35	1.130733097
36	1.123982645
37	1.118198853
38	1.112637035
39	1.107173586
40	1.101851346
41	1.09706153
42	1.092324179
43	1.087438801
44	1.08295832
45	1.078843228
46	1.074948752
47	1.0708254
48	1.066711956
49	1.062908661
50	1.058726111
51	1.055003647
52	1.051513222
53	1.048544983
54	1.044912716
55	1.041594647
56	1.038479724
57	1.035015299
58	1.03209769
59	1.02941316
60	1.026410803
61	1.02332762
62	1.020365312
63	1.017855146
64	1.015015574
65	1.012066794
66	1.010141724
67	1.007366742
68	1.005231577
69	1.003509328
70	1.00120416
71	0.9991194943
72	0.9970595456
73	0.9952728503
74	0.9935209154
75	0.9920644106
76	0.9903189131
77	0.9889254953
78	0.9869123223
79	0.984752583
80	0.9834103898
81	0.9817733573
82	0.9804045091
83	0.9789765083
84	0.9770431279
85	0.9748299655
86	0.9731471149
87	0.9714573549
88	0.969965129
89	0.9680619589
90	0.9665941827
91	0.9650556356
92	0.9635523772
93	0.9619292085
94	0.9603491201
95	0.9592463622
96	0.9577688672
97	0.9559418173
98	0.954801451
99	0.9538401404
100	0.952367826
101	0.950649964
102	0.9493141257
103	0.9481178639
104	0.9465472884
105	0.945709256
106	0.9445362238
107	0.9434253898
108	0.9418500426
109	0.9399711634
110	0.9387042102
111	0.9377753769
112	0.9363320829
113	0.9352032761
114	0.9338003349
115	0.9323240474
116	0.9314683078
117	0.9303196394
118	0.9298337801
119	0.9285133327
120	0.9273005778
121	0.9257669121
122	0.924842854
123	0.9231880188
124	0.9224269834
125	0.9214769386
126	0.9207011772
127	0.9198087407
128	0.91847614
129	0.9173467136
130	0.916103244
131	0.9149721735
132	0.9143441936
133	0.9133240498
134	0.9123073107
135	0.9110798247
136	0.9103539975
137	0.9092363529
138	0.9083792468
139	0.9075814354
140	0.9064391134
141	0.9053951679
142	0.9041311695
143	0.9029417248
144	0.9016642626
145	0.9006168842
146	0.8988317273
147	0.8978048558
148	0.8967966308
149	0.896062064
150	0.8945477877
151	0.8938953936
152	0.8928795677
153	0.8908117207
154	0.8903435959
155	0.8895184932
156	0.8885908069
157	0.8874224923
158	0.8868597361
159	0.8854542449
160	0.8849181293
161	0.8842819603
162	0.8831662029
163	0.8820163674
164	0.8811837241
165	0.8801545935
166	0.8788740034
167	0.8781293224
168	0.8773512353
169	0.876545782
170	0.8759627587
171	0.8748629818
172	0.8730760876
173	0.872123421
174	0.8713015274
175	0.8701426381
176	0.8686057883
177	0.8680118327
178	0.8662688554
179	0.865385825
180	0.8643158664
181	0.8636468926
182	0.8624070148
183	0.8616133622
184	0.8608011906
185	0.8596580825
186	0.8588118175
187	0.857891706
188	0.857066945
189	0.8563216906
190	0.8556912601
191	0.8546180557
192	0.8538374104
193	0.8528258271
194	0.8515292486
195	0.8506199006
196	0.8501591762
197	0.8488319102
198	0.8477646166
199	0.847375639
200	0.8464560337
201	0.8457248156
202	0.8451822339
203	0.844556105
204	0.8433357945
205	0.8423035949
206	0.841257497
207	0.8400496405
208	0.8390865177
209	0.8385508062
210	0.8378816387
211	0.8373848086
212	0.8365778833
213	0.8355310367
214	0.8345140595
215	0.833743835
216	0.8331096972
217	0.8322708634
218	0.8317717601
219	0.8310606628
220	0.8301856556
221	0.8292322868
222	0.8284266182
223	0.8278328255
224	0.8271601769
225	0.8266461554
226	0.8259919739
227	0.8254892908
228	0.824757898
229	0.8240903215
230	0.8237788619
231	0.8223117244
232	0.8208849873
233	0.8203614097
234	0.8195323853
235	0.8189251194
236	0.8175625656
237	0.8170824771
238	0.8163500875
239	0.8154174106
240	0.8150343532
241	0.8146414244
242	0.814117337
243	0.8135339024
244	0.8125497921
245	0.8119457182
246	0.811292235
247	0.8105275972
248	0.8094352442
249	0.8085450773
250	0.8074389029
251	0.8064091725
252	0.8057762129
253	0.8053154511
254	0.8043439687
255	0.8034417623
256	0.8029926381
257	0.8021993836
258	0.8016114363
259	0.8005040269
260	0.8001951764
261	0.7996824225
262	0.7991917089
263	0.7986919753
264	0.7974266468
265	0.7963230549
266	0.7951256253
267	0.794662404
268	0.7930237283
269	0.7916488784
270	0.7902214779
271	0.7890351289
272	0.7880669066
273	0.7874186278
274	0.7868776773
275	0.78591876
276	0.7848445183
277	0.7840476552
278	0.7836638463
279	0.7825252373
280	0.7821755957
281	0.7813179072
282	0.7802038996
283	0.7788963715
284	0.7782546028
285	0.7777598721
286	0.7772014247
287	0.7768248061
288	0.7764674748
289	0.7757988625
290	0.7744802998
291	0.7741247671
292	0.7736837424
293	0.7729564826
294	0.7723914858
295	0.7713248419
296	0.7708271474
297	0.7701378046
298	0.769097579
299	0.768604762
300	0.7679355083
301	0.7673605405
302	0.7660692595
303	0.7653180323
304	0.7646215088
305	0.7640438368
306	0.7635652229
307	0.7632854772
308	0.7626970903
309	0.7615093843
310	0.7602806295
311	0.7591772338
312	0.7585379396
313	0.7583020284
314	0.7577899199
315	0.7571392767
316	0.7560655718
317	0.7549442507
318	0.7545031126
319	0.7537152903
320	0.7530595914
321	0.7523384542
322	0.7516478176
323	0.750844832
324	0.7499731762
325	0.7492625728
326	0.7485491516
327	0.7473962672
328	0.7462632186
329	0.7458640771
330	0.7450557249
331	0.7436946805
332	0.7430386303
333	0.7423292993
334	0.7417197111
335	0.7411005038
336	0.7404733344
337	0.7397286851
338	0.7391402231
339	0.7385253236
340	0.7380577975
341	0.7377539076
342	0.737039837
343	0.7362182368
344	0.7355343794
345	0.7347457283
346	0.7340063069
347	0.7329617104
348	0.7321909859
349	0.7316663002
350	0.7312042807
351	0.7307004648
352	0.7301633965
353	0.72978315
354	0.7293606171
355	0.728841966
356	0.728353645
357	0.7277558778
358	0.7272319495
359	0.7267170845
360	0.7261298464
361	0.7257774727
362	0.7250033917
363	0.724631697
364	0.724282019
365	0.7237528856
366	0.7235003226
367	0.7229129628
368	0.7224750683
369	0.7217549562
370	0.7212672526
371	0.7204940976
372	0.7198217328
373	0.7189608746
374	0.7179316397
375	0.7169969857
376	0.7166531569
377	0.7160349364
378	0.7150116241
379	0.714374914
380	0.7140149568
381	0.7136350589
382	0.713210794
383	0.7123772748
384	0.7120476191
385	0.7107325871
386	0.7101040988
387	0.7094722182
388	0.7090429777
389	0.7085357326
390	0.7078178245
391	0.7072531075
392	0.7068050252
393	0.7063035195
394	0.7053265723
395	0.704623714
396	0.7038520633
397	0.703278898
398	0.70273065
399	0.7020178884
400	0.7012899982
401	0.7003603108
402	0.6995522676
403	0.6989137082
404	0.6981450664
405	0.6978157722
406	0.6973903934
407	0.6970227701
408	0.696487456
409	0.6956262606
410	0.69513352
411	0.6946338953
412	0.6939748777
413	0.6933079016
414	0.6927494622
415	0.6924105715
416	0.6920998799
417	0.6914913289
418	0.6907151159
419	0.690243632
420	0.6898676781
421	0.6891179859
422	0.688662763
423	0.6879942449
424	0.6873705165
425	0.6863810682
426	0.6861232782
427	0.6856359773
428	0.6849769548
429	0.6846639531
430	0.6839145182
431	0.6834331041
432	0.6825707716
433	0.6818951979
434	0.6815200939
435	0.6807520756
436	0.6803050924
437	0.6798037431
438	0.6791722609
439	0.6785644288
440	0.6781530026
441	0.6771870016
442	0.6765245527
443	0.6758438041
444	0.6752207942
445	0.674691182
446	0.6738599213
447	0.6731850509
448	0.6726614365
449	0.6719856938
450	0.6715663519
451	0.6708777219
452	0.6703100983
453	0.6698026376
454	0.6694891144
455	0.6690363266
456	0.6684992151
457	0.6675396762
458	0.6668894237
459	0.6663387276
460	0.6659861769
461	0.6652674558
462	0.6648497436
463	0.6641652756
464	0.6635897938
465	0.6632359649
466	0.6627754512
467	0.662180516
468	0.6616998259
469	0.6611094472
470	0.6603958221
471	0.6594387737
472	0.659038865
473	0.6585015937
474	0.6574652922
475	0.6568976299
476	0.6563729574
477	0.655665201
478	0.6548679961
479	0.6545238355
480	0.6540710418
481	0.6535870743
482	0.6527577052
483	0.6521688121
484	0.6513804079
485	0.6510134041
486	0.6504905182
487	0.6498700262
488	0.6494578339
489	0.6483103984
490	0.6477675366
491	0.647353063
492	0.6469819654
493	0.6461902498
494	0.6457393764
495	0.6446926704
496	0.6443239153
497	0.6439618916
498	0.6434347981
499	0.6427749717
