iter	Passed	Remaining
0	12	6179
1	22	5546
2	34	5638
3	43	5388
4	54	5370
5	64	5307
6	74	5264
7	85	5237
8	94	5163
9	103	5082
10	114	5091
11	123	5012
12	132	4950
13	141	4906
14	149	4848
15	158	4794
16	167	4770
17	177	4740
18	185	4708
19	195	4680
20	203	4640
21	212	4618
22	220	4579
23	229	4555
24	238	4525
25	247	4506
26	256	4489
27	265	4469
28	275	4481
29	284	4462
30	293	4440
31	301	4412
32	309	4385
33	318	4366
34	328	4369
35	338	4360
36	347	4351
37	356	4335
38	365	4321
39	375	4320
40	386	4328
41	398	4341
42	407	4329
43	415	4309
44	424	4290
45	432	4269
46	440	4247
47	448	4227
48	458	4216
49	466	4197
50	475	4182
51	483	4164
52	492	4153
53	500	4136
54	509	4122
55	518	4107
56	528	4105
57	538	4100
58	547	4091
59	557	4084
60	566	4076
61	575	4067
62	584	4057
63	593	4044
64	604	4042
65	613	4031
66	621	4019
67	631	4011
68	640	3999
69	649	3987
70	657	3975
71	666	3963
72	675	3952
73	685	3946
74	694	3933
75	703	3922
76	711	3911
77	720	3896
78	728	3883
79	737	3869
80	745	3857
81	754	3845
82	762	3832
83	774	3836
84	796	3886
85	812	3910
86	822	3902
87	833	3902
88	844	3900
89	855	3897
90	866	3896
91	878	3895
92	888	3886
93	897	3876
94	907	3867
95	916	3855
96	926	3847
97	934	3834
98	944	3825
99	953	3812
100	961	3799
101	970	3787
102	979	3776
103	987	3761
104	996	3750
105	1006	3740
106	1014	3726
107	1023	3714
108	1032	3702
109	1040	3689
110	1048	3675
111	1057	3662
112	1065	3648
113	1073	3636
114	1081	3621
115	1089	3608
116	1097	3594
117	1106	3581
118	1114	3568
119	1123	3556
120	1131	3543
121	1140	3534
122	1150	3525
123	1160	3518
124	1169	3509
125	1179	3500
126	1188	3489
127	1197	3479
128	1206	3469
129	1216	3461
130	1225	3451
131	1234	3442
132	1243	3431
133	1252	3421
134	1261	3409
135	1271	3403
136	1280	3393
137	1289	3382
138	1298	3372
139	1306	3360
140	1315	3350
141	1324	3339
142	1333	3329
143	1342	3318
144	1351	3308
145	1360	3297
146	1369	3288
147	1380	3282
148	1391	3277
149	1402	3273
150	1416	3273
151	1426	3266
152	1435	3256
153	1446	3249
154	1456	3242
155	1466	3233
156	1479	3232
157	1490	3225
158	1502	3223
159	1515	3219
160	1525	3211
161	1535	3204
162	1547	3198
163	1555	3187
164	1565	3178
165	1574	3167
166	1583	3158
167	1593	3149
168	1603	3140
169	1613	3131
170	1622	3121
171	1632	3112
172	1643	3106
173	1652	3096
174	1669	3100
175	1681	3095
176	1797	3279
177	1806	3268
178	1815	3256
179	2133	3793
180	2133	3793
181	2226	3912
182	2258	3933
183	2694	4653
184	2942	5038
185	3001	5094
186	3514	5913
187	3524	5880
188	4382	7250
189	4553	7467
190	4563	7421
191	4572	7373
192	4582	7327
193	4592	7280
194	4602	7235
195	4611	7189
196	4620	7143
197	4629	7097
198	4639	7052
199	4648	7008
200	4658	6964
201	4668	6920
202	4677	6876
203	4686	6833
204	4696	6791
205	4705	6748
206	4715	6706
207	4724	6664
208	4736	6625
209	4746	6586
210	4757	6547
211	4768	6508
212	4780	6471
213	4793	6436
214	4802	6396
215	4813	6358
216	4823	6319
217	4841	6291
218	4850	6252
219	4859	6213
220	4869	6174
221	4878	6136
222	4887	6098
223	4896	6060
224	4906	6023
225	4915	5985
226	4923	5947
227	4933	5911
228	4942	5874
229	4951	5838
230	4961	5803
231	4970	5767
232	4981	5733
233	4990	5697
234	4999	5661
235	5009	5627
236	5018	5592
237	5027	5558
238	5037	5523
239	5045	5489
240	5054	5455
241	5063	5421
242	5073	5387
243	5082	5354
244	5091	5321
245	5100	5287
246	5108	5254
247	5117	5221
248	5126	5188
249	5134	5155
250	5143	5123
251	5153	5091
252	5162	5059
253	5170	5027
254	5179	4996
255	5188	4965
256	5197	4933
257	5206	4902
258	5214	4871
259	5223	4840
260	5231	4809
261	5240	4779
262	5249	4748
263	5258	4718
264	5277	4697
265	5286	4667
266	5294	4637
267	5303	4608
268	5312	4578
269	5323	4551
270	5333	4523
271	5343	4495
272	5353	4467
273	6378	5280
274	6390	5247
275	6400	5213
276	6412	5181
277	6423	5148
278	6434	5115
279	6445	5082
280	6456	5049
281	6467	5017
282	6478	4984
283	6488	4952
284	6499	4920
285	6514	4891
286	6523	4858
287	6534	4826
288	6544	4794
289	6552	4761
290	6563	4730
291	6572	4697
292	6583	4667
293	6593	4635
294	6603	4604
295	6613	4573
296	6626	4544
297	6635	4513
298	6645	4482
299	6655	4451
300	6664	4421
301	6674	4390
302	6683	4359
303	6822	4413
304	6861	4401
305	6901	4389
306	6961	4391
307	7066	4419
308	7107	4407
309	7147	4395
310	7191	4384
311	7255	4386
312	7280	4363
313	7314	4346
314	7325	4316
315	7338	4286
316	7349	4256
317	7360	4225
318	7370	4195
319	7382	4165
320	7391	4134
321	7401	4104
322	7411	4073
323	7421	4043
324	7431	4014
325	7441	3984
326	7451	3954
327	7462	3925
328	7472	3895
329	7482	3866
330	7492	3837
331	7503	3808
332	7513	3779
333	7522	3749
334	7532	3721
335	7542	3692
336	7553	3664
337	7563	3636
338	7574	3607
339	7584	3579
340	7595	3552
341	7604	3523
342	7615	3495
343	7625	3468
344	7635	3440
345	7646	3413
346	7658	3386
347	7674	3361
348	7684	3334
349	7695	3307
350	7726	3289
351	7739	3263
352	7749	3236
353	7763	3210
354	7773	3183
355	7785	3158
356	7798	3132
357	7810	3106
358	7822	3081
359	7831	3054
360	7840	3027
361	7849	3000
362	7861	2975
363	7874	2950
364	7884	2924
365	7896	2898
366	7908	2873
367	7918	2847
368	7927	2822
369	7937	2796
370	7946	2770
371	7956	2745
372	7965	2719
373	7974	2693
374	7984	2668
375	7994	2643
376	8003	2618
377	8013	2593
378	8024	2568
379	8033	2543
380	8042	2518
381	8052	2493
382	8062	2469
383	8074	2445
384	8083	2420
385	8093	2396
386	8103	2372
387	8115	2348
388	8124	2324
389	8134	2300
390	8143	2276
391	8156	2252
392	8166	2229
393	8176	2205
394	8187	2181
395	8197	2158
396	8206	2134
397	8216	2110
398	8224	2087
399	8234	2063
400	8243	2040
401	8255	2017
402	8265	1994
403	8274	1971
404	8284	1948
405	8293	1925
406	8303	1902
407	8312	1879
408	8321	1856
409	8331	1833
410	8345	1811
411	8353	1788
412	8363	1765
413	8372	1743
414	8382	1721
415	8390	1698
416	8399	1675
417	8407	1653
418	8417	1631
419	8425	1608
420	8433	1586
421	8443	1564
422	8451	1542
423	8460	1520
424	8469	1498
425	8477	1476
426	8486	1454
427	8494	1432
428	8503	1410
429	8511	1388
430	8520	1367
431	8529	1345
432	8537	1324
433	8546	1302
434	8554	1281
435	8562	1259
436	8573	1238
437	8583	1217
438	8593	1196
439	8602	1175
440	8612	1154
441	8632	1135
442	8642	1114
443	8652	1093
444	8661	1072
445	8671	1052
446	8681	1031
447	8692	1011
448	8703	990
449	8712	970
450	8721	949
451	8731	929
452	8741	908
453	8753	888
454	8762	868
455	8774	848
456	8784	828
457	8794	808
458	8808	788
459	8818	768
460	8828	748
461	8838	728
462	8850	708
463	8862	689
464	8873	669
465	8883	649
466	8893	629
467	8904	610
468	8914	590
469	8923	570
470	8932	551
471	8942	531
472	8951	512
473	8961	492
474	8970	473
475	8980	453
476	8990	434
477	9000	415
478	9010	395
479	9037	377
480	9056	358
481	9068	339
482	9082	320
483	9093	301
484	9103	282
485	9115	263
486	9130	244
487	9139	225
488	9149	206
489	9161	187
490	9172	168
491	9183	149
492	9195	130
493	9205	112
494	9218	93
495	9237	74
496	9249	55
497	9258	37
498	9269	18
499	9278	0
